Id,Algorithm,min(max_error),max(max_error),Best,Time Average(in range),Accuracy,Precision,Recall,F1-score,min,max,Time Average(s)
LIT 301,Top-down,100000.0,500000.0,100000.0,88.67,0.9988663643638304,0.9885057471264368,0.9485294117647058,0.9681050656660412,,,
LIT 301,Bottom-up,0.1,700.0,500.0,12.0,0.9988663643638304,0.9885057471264368,0.9485294117647058,0.9681050656660412,,,
LIT 301,Sliding-window,20000.0,200000.0,50000.0,2.42,0.9988663643638304,0.9922779922779924,0.9448529411764706,0.967984934086629,,,
LIT 301,SWAB,0.1,700.0,500.0,34.63,0.9988663643638304,0.9885057471264368,0.9485294117647058,0.9681050656660412,,,
MV 501,Top-down,20.0,100.0,50.0,35.3,0.9973993064817284,0.7547169811320755,1.0,0.8602150537634409,,,
MV 501,Bottom-up,1.0,5.0,5.0,12.6,0.99793278207522,0.7947019867549668,1.0,0.8856088560885608,,,
MV 501,Sliding-window,10.0,40.0,15.0,11.83,0.9974659909309148,0.759493670886076,1.0,0.8633093525179857,,,
MV 501,SWAB,0.1,700.0,500.0,34.63,0.9974659909309148,0.759493670886076,1.0,0.8633093525179857,,,
MV201,Top-down,,,2500.0,,0.9221125633502268,0.2781211372064276,1.0,0.4352030947775628,100.0,3000.0,71.982
MV201,Bottom-up,,,5.0,,0.998532942117898,0.9533898305084746,1.0,0.9761388286334056,4.0,5.0,13.225
MV201,Sliding-window,,,215.0,,0.921712456655108,0.2770935960591133,1.0,0.433944069431051,215.0,300.0,11.93
MV201,SWAB,,,2.5,,0.998532942117898,0.9533898305084746,1.0,0.9761388286334056,1.0,5.0,103.9
P101 Status,Top-down,,,250.0,,0.9223793011469724,0.2785359801488833,0.9977777777777778,0.4354995150339476,100.0,2000.0,55.76
P101 Status,Bottom-up,,,25.0,,0.8963056815150707,0.0,0.0,0.0,1.0,55.0,12.2
P101 Status,Sliding-window,,,10.0,,0.905108028807682,0.0,0.0,0.0,1.0,15.0,4.17
P101 Status,SWAB,,,50.0,,0.9998666311016272,0.9977777777777778,0.9977777777777778,0.9977777777777778,40.0,75.0,17.7
P301 Status,Top-down,,,50.0,,0.9975326753801014,0.9560047562425684,1.0,0.9775075987841946,20.0,75.0,54.42
P301 Status,Bottom-up,,,0.075,,0.8545612163243531,0.0,0.0,0.0,0.05,0.1,12.275
P301 Status,Sliding-window,,,20.0,,0.9460522806081622,0.0,0.0,0.0,1.0,40.0,6.9075
P301 Status,SWAB,,,5.0,,0.9173112830088024,0.0,0.0,0.0,0.0,50.0,13.4
